,title,link,pubDate,desc,img
0,"Bosan Belajar di Rumah, Siswa SMP Bobol Website Polda DIY",https://jogjapolitan.harianjogja.com/read/2020/11/09/511/1054840/bosan-belajar-di-rumah-siswa-smp-bobol-website-polda-diy,"Mon, 09 Nov 2020 17:27:38 +0700","Kebijakan belajar di rumah selama masa pandemi Coronavirus Disease atau Covid-19 menumbuhkan bakat terpendam bagi anak. Hikmatul Kahfi Suryaputra, siswa kelas II SMP Negeri 2 Bantul ini mampu membobol situs Polda DIY. Bagaimana caranya?","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054840/hacker-smp.jpg""/>"
1,Jenderal Inggris Sebut Pandemi Corona Bisa Picu Perang Dunia Ketiga,https://news.harianjogja.com/read/2020/11/09/500/1054839/jenderal-inggris-sebut-pandemi-corona-bisa-picu-perang-dunia-ketiga,"Mon, 09 Nov 2020 17:17:15 +0700",Komandan Militer Senior Inggris Jenderal Sir Nick Carter menyebut perang dunia ketiga bisa terjadi karena pandemi Corona.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054839/corona-ilustrasi-2.jpg""/>"
2,"Bertahun-tahun Sulit Dapat Listrik, Petani di Pesisir Kulonprogo Kini Andalkan Panel Surya",https://jogjapolitan.harianjogja.com/read/2020/11/09/514/1054838/bertahun-tahun-sulit-dapat-listrik-petani-di-pesisir-kulonprogo-kini-andalkan-panel-surya,"Mon, 09 Nov 2020 17:07:06 +0700","Komunitas peduli lingkungan yang bergabung dalam Koalisi Keberagaman memberikan seperangkat panel surya dan pompa air listrik kepada petani pengolah lahan pantai di Kalurahan Karangsewu, Kapanewon Galur, Kulonprogo.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054838/panel-surya.jpg""/>"
3,Pemerintah Berkomitmen Hadirkan Akses Pendidikan Setara,https://jogjapolitan.harianjogja.com/read/2020/11/09/510/1054837/pemerintah-berkomitmen-hadirkan-akses-pendidikan-setara,"Mon, 09 Nov 2020 16:57:00 +0700",Kegiatan ini merupakan wujud komitmen pemerintah dalam menghadirkan akses pendidikan yang lebih setara kepada penyandang disabilitas.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054837/difabel-ok.jpg""/>"
4,Membangun Nalar Kritis Kader Muda Muhammadiyah Melalui Gerakan Literasi,https://pengabdianumy.harianjogja.com/read/2020/11/09/559/1054836/membangun-nalar-kritis-kader-muda-muhammadiyah-melalui-gerakan-literasi,"Mon, 09 Nov 2020 16:47:34 +0700","Program Pengabdian Masyarakat Berbasis Persyarikatan Muhammadiyah (PPM-Muhammadiyah) yang diketuai dosen Fakultas Hukum Universitas Muhammadiyah Yogyakarta (UMY), Tanto Lailam, meluncurkan Sekolah Literasi Muda Berkarya.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054836/umy-tanto-lailam.png""/>"
5,"Menang Pilpres AS, Joe Biden Nyekar ke Makam Istri",https://news.harianjogja.com/read/2020/11/09/500/1054825/menang-pilpres-as-joe-biden-nyekar-ke-makam-istri,"Mon, 09 Nov 2020 16:37:00 +0700",,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054825/joe-biden.jpg""/>"
6,"Kisruh Rumah Subsidi di Bantul, Ratusan Konsumen Tempuh Jalur Hukum",https://jogjapolitan.harianjogja.com/read/2020/11/09/511/1054835/kisruh-rumah-subsidi-di-bantul-ratusan-konsumen-tempuh-jalur-hukum,"Mon, 09 Nov 2020 16:27:38 +0700","Puluhan konsumen rumah subsidi di Bantul mendatangi kantor Lembaga Ombudsman (LO) DIY, Senin (9/11/2020). Mereka menuntut kejelasan pengembalian persekot dari pengembang yang dijanjikan setahun lalu. Rencananya, kasus ini akan dibawa ke jalur hukum.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054835/rumah-subsidi.jpg""/>"
7,"Uang Atlet e-Sport Rp20 Miliar di Maybank Raib, Hotman Paris Ungkap Keanehan",https://news.harianjogja.com/read/2020/11/09/500/1054823/uang-atlet-e-sport-rp20-miliar-di-maybank-raib-hotman-paris-ungkap-keanehan,"Mon, 09 Nov 2020 16:17:00 +0700","Atlet e-sport putri Winda Lunardi dan ibunya, Floleta Lizzy Wiguna menjadi korban kejahatan perbankan dengan modus bunga tinggi hingga 10%. Tabungan yang mereka tanam selama lima tahun di Maybank bukan hanya tak menghasilkan untung, melainkan lenyap tanpa jejak.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054823/himamaybank270619-3.jpeg""/>"
8,Bandara Soetta Minta Simpatisan Rizieq Tak Ganggu Operasional Bandara saat Penyambutan,https://news.harianjogja.com/read/2020/11/09/500/1054827/bandara-soetta-minta-simpatisan-rizieq-tak-ganggu-operasional-bandara-saat-penyambutan,"Mon, 09 Nov 2020 16:07:00 +0700","Habib Rizieq Shihab dijadwalkan tiba di Indonesia dari Arab Saudi pada Selasa (10/11/2020) besok. Otoritas Bandara Soekarno Hatta, Cengkareng, Banten meminta para simpatisan Rizieq tetap mematuhi aturan bandara selama proses penyambutan.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054827/habib-rizieq-2.jpg""/>"
9, Dinas Pertanian dan Pangan Jogja Gelar Kontes Tanaman Hias,https://jogjapolitan.harianjogja.com/read/2020/11/09/510/1054831/dinas-pertanian-dan-pangan-jogja-gelar-kontes-tanaman-hias,"Mon, 09 Nov 2020 15:57:16 +0700",Dinas Pertanian dan Pangan Kota Jogja menggali potensi petani dengan menggelar kontes tanaman hias. Kontes ini dikhususkan untuk jenis aglonema dan anggrek.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054831/foto-memo-tanaman-hias-pemkot-.jpg""/>"
10,"Kemendagri Berharap Partisipasi Pemilih Pilkada 2020 Mencapai 77,5%",https://news.harianjogja.com/read/2020/11/09/500/1054824/kemendagri-berharap-partisipasi-pemilih-pilkada-2020-mencapai-775,"Mon, 09 Nov 2020 15:37:00 +0700",,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054824/pilkada-pemungutan-suara.jpg""/>"
11,Sapi Warga Lereng Merapi Mulai Diungsikan,https://jogjapolitan.harianjogja.com/read/2020/11/09/512/1054829/sapi-warga-lereng-merapi-mulai-diungsikan,"Mon, 09 Nov 2020 15:27:07 +0700","Sapi milik warga Kalitengah Lor, Glagaharjo, Cangkringan, Sleman, mulai dievakuasi menyusul peningkatan aktivitas Gunung Merapi, Senin (9/11/2020) pagi.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054829/sapi.jpg""/>"
12,AMSI Gelar Pelatihan Cek Fakta Pilkada di 16 Wilayah,https://news.harianjogja.com/read/2020/11/09/500/1054828/amsi-gelar-pelatihan-cek-fakta-pilkada-di-16-wilayah,"Mon, 09 Nov 2020 15:17:28 +0700",Asosiasi Media Siber Indonesia (AMSI) berkolaborasi dengan Tim Cek Fakta dengan dukungan Google News Initiative menyelenggarakan Cek Fakta Debat Pemilihan Kepala Daerah 2020.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054828/amsi.jpg""/>"
13,Tempat Konservasi Penyu di Pantai Trisik Terancam Rusak oleh Abrasi,https://jogjapolitan.harianjogja.com/read/2020/11/09/514/1054821/tempat-konservasi-penyu-di-pantai-trisik-terancam-rusak-oleh-abrasi,"Mon, 09 Nov 2020 15:07:00 +0700","Tempat konservasi penyu yang dikelola Kelompok Konservasi Penyu Abadi di Pantai Trisik, Kalurahan Banaran, Kapanewon Galur, Kulonprogo terancam rusak oleh abrasi yang melanda pantai tersebut. Saat ini, jarak tempat konservasi itu dari lautan tak lebih dari 50 meter.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054821/abrasi-trisik-ancam-tempat-konservasi.jpg""/>"
14,Suharso Monoarfa Optimistis Terpilih Kembali sebagai Ketua Umum PPP,https://news.harianjogja.com/read/2020/11/09/500/1054813/suharso-monoarfa-optimistis-terpilih-kembali-sebagai-ketua-umum-ppp,"Mon, 09 Nov 2020 14:57:00 +0700",Suharso Monoarfa yang saat ini menjabat sebagai Pelaksana Tugas Ketua Umum Partai Persatuan Pembangunan (PPP) menyatakan optimistis akan kembali terpilih sebagai ketua umum PPP dalam Muktamar ke-9 PPP di Makassar pada Desember 2020.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054813/bappenas_-menteri-ppn-suharso-monoarfa.jpg""/>"
15,Pemkab Bantul Jamin Anggaran Penanganan Bencana Cukup,https://jogjapolitan.harianjogja.com/read/2020/11/09/511/1054820/pemkab-bantul-jamin-anggaran-penanganan-bencana-cukup,"Mon, 09 Nov 2020 14:37:00 +0700",Pemerintah Kabupaten Bantul menjamin anggaran penanganan bencana alam maupun bencana non alam Covid-19 cukup sampai akhir tahun ini bahkan sampai awal tahun depan.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054820/pengecekan-alat.jpg""/>"
16,Pengamat Sebut 4G Bukan Teknologi Baru dalam UU Cipta Kerja,https://news.harianjogja.com/read/2020/11/09/500/1054815/pengamat-sebut-4g-bukan-teknologi-baru-dalam-uu-cipta-kerja,"Mon, 09 Nov 2020 14:27:00 +0700","Dalam Undang-Undang No. 11/2020 tentang Cipta Kerja, 4Gmasih dianggap sebagai teknologi baru sehingga diperbolehkan untuk berbagi spektrum.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054815/jaringan-mudik-2.jpg""/>"
17,Kelompok Tani Sumber Balecatur Usir Tikus dengan Rumah Burung Hantu,https://pengabdianumy.harianjogja.com/read/2020/11/09/559/1054822/kelompok-tani-sumber-balecatur-usir-tikus-dengan-rumah-burung-hantu,"Mon, 09 Nov 2020 14:17:46 +0700","Genesiska, dosen Program Studi Agroteknologi Fakultas Pertanian Universitas Muhammadiyah Yogyakarta mengembangkan kapasitas Kelompok Tani Sumber Desa Balecatur dalam pengendalian tikus di lahan pertanian melalui program rumah burung hantu.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054822/rubuha-umy.jpg""/>"
18,"Unik, Kampus di Bali Ini Pakai Kelapa Murni sebagai Alat Pembayaran Biaya Kuliah",https://news.harianjogja.com/read/2020/11/09/500/1054814/unik-kampus-di-bali-ini-pakai-kelapa-murni-sebagai-alat-pembayaran-biaya-kuliah,"Mon, 09 Nov 2020 14:07:00 +0700","Akademi Pariwisata Venus One, sebuah perguruan tinggi perhotelan di Bali, Indonesia, menerima kelapa sebagai bentuk pembayaran uang sekolah dari mahasiswa yang mengalami kesulitan ekonomi akibat pandemi Covid-19.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054814/130516_kelapa-bas.jpg""/>"
19,PKM UMY Tingkatkan Keterampilan PKK Perak Asri Melalui Produk Ecoprint,https://pengabdianumy.harianjogja.com/read/2020/11/09/559/1054819/pkm-umy-tingkatkan-keterampilan-pkk-perak-asri-melalui-produk-ecoprint,"Mon, 09 Nov 2020 13:57:12 +0700","Program Kemitraan Masyarakat (PKM) Universitas Muhammadiyah Yogyakarta (UMY) yang digagas Genesiska, Dosen Program Studi Agroteknologi Fakultas Pertanian UMY meningkatkan keterampilan anggota PKK Perak Asri Kabupaten Bantul melalui produk ecoprint ramah lingkungan.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054819/umy.jpg""/>"
